11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB030|สำนักงานใหญ่ อาคาร 4 ชั้น 8|TCU8000P|00-20-4A-66-DC-7A|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB031|สำนักงานใหญ่ อาคาร 4 ชั้น 10|TCU8000P|00-20-4A-66-DC-68|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB033|สำนักงานใหญ่ อาคาร 6 ชั้น 2|TCU8000P|00-20-4A-66-DC-E8|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB034|สำนักงานใหญ่ อาคาร 9 ชั้น 1|TCU8000P|00-20-4A-66-DC-90|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB035|สำนักงานใหญ่ อาคาร 10 ชั้น 1|TCU8000P|00-20-4A-66-DC-67|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB040|สำนักงานใหญ่ อาคาร 5 ชั้น 1|TCU8000P|00-20-4A-66-DC-A1|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB041|สำนักงานใหญ่ อาคาร 3 ชั้น 2|M50|8187UPTKHBV1B5|AS
11CM250GSBT|01/10/2554|30/09/2555|GSB|ธนาคารออมสิน|GSB042|สำนักงานใหญ่ อาคาร 7 โรงอาหารเก่า|ADC-22938|075202174|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268538|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268548|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268552|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268554|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268555|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268559|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268567|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268568|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268571|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B268574|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B274497|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B310526|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B310534|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B310538|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-250-02|B318345|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLF-500|B8010368|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLC-505|B8408866|AS
11CM127BOTT|01/05/2554|30/04/2555|BOT|ธนาคารแห่งประเทศไทย|BOT003|ธนาคารแห่งประเทศไทย สำนักงานใหญ่ หลังใหม่ บางขุนพรหม|VLC-505|B8408870|AS
11CM120SCBV|01/04/2554|31/03/2555|SCB|ธนาคารไทยพาณิชย์ จำกัด (มหาชน)|SCB030|ศูนย์เทคโนโลยีสารสนเทศ แจ้งวัฒนะ|VLC-505|B414913|AS
